title,author,average_rating,rating_number,description,images,categories,parent_asin
"Mining Engineers and the American West: The Lace-Boot Brigarde, 1849-1933","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Clark C. Spence', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.7,4,"['Review', 'This book is a treasure trove of tales about the early mining engineers and their experiences on the Western frontier. --Mining History News', 'About the Author', 'Dr. Spence is Professor Emeritus of History at the University of Illinois at Urbana-Champaign.']","[{'large': 'https://m.media-amazon.com/images/I/51nlRLa5ycL._SX334_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['History'],0893011673
Heart of Silk and Shadows: A Fae Fantasy Romance (Fae Isles),"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/7cpfl3jmtaq32tqq5p3ggg2oe1._SY600_.jpg', 'name': 'Lisette Marshall', 'about': ['Lisette Marshall is a librarian by day and a writer by night. She combines a lifelong love for adult fairy tales, mystery novels and sexy adventures in her steamy medieval fantasy romance novels. The Princess & The Spy, an enemies to lovers trilogy taking place in the world of the Five Kingdoms, is her first published full-length work.', 'When Lisette isn’t dreaming about gorgeous heroes and sensual heroines, she can usually be found reading about weird history, playing the violin or baking way too many chocolate cookies for herself and her boyfriend.']}",4.4,481,[],"[{'large': 'https://m.media-amazon.com/images/I/41tMRHMU2WL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",['Science Fiction & Fantasy'],9083256898
Girl Made of Glass,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/5av23i12r4p62nfrr8koq0blld._SY600_.jpg', 'name': 'Shelby Leigh', 'about': ['Shelby Leigh is a mental health poet writing about self-love, insecurities, anxiety, relationships and more. Her third poetry book, girl made of glass, released in 2023 with Central Avenue Publishing. Her longest collection yet, the book uncovers how our past - past relationships, memories, and ourselves - can haunt us.', 'Her second poetry book, changing with the tides, is a #1 amazon bestseller, originally released in 2019. The new edition was released by Gallery Books in July 2022.', 'In addition to writing, Shelby runs an online poetry community with workshops and edits poetry books.', 'Connect with her on Instagram and TikTok @shelbyleighpoetry, Twitter @shelbyleighpoet, and on her website www.shelbyleigh.co.']}",4.5,117,"['Review', '“Reading this book was like reading my own journal. Inside of all of us there is a girl made of glass just wanting to be heard, and Shelby expresses those all-too-relatable feelings with grace and elegance.” —', 'amanda lovelace,', 'Author of', 'unlock your storybook heart', '“The vulnerability in', 'Girl Made of Glass', 'shines through and the themes of self-love, self-esteem, image, and exploration of identity and confidence tie together in a relatable way.” —', 'Amanda Linsmeier', ', author of', 'Starlings', '“', 'girl made of glass', 'is a spectacular homage to the process of self-growth and the introspection it requires. Shelby has written a must-read for all who have ever felt like they are about to shatter.”\xa0 —', 'Catarine Hancock', ', author of', 'shades of lovers', 'About the Author', 'Shelby Leigh is an author who explores mental health, self-love, and healing through poetry. She wrote her third and newest collection,', 'girl made of glass', ', to examine the past and how it can haunt our minds through overthinking. She writes her books with the goal of making others feel less alone and to empower her readers to love who they are. When Leigh isn’t writing, you can find her reading a good book, buying yellow decor, and/or probably eating chocolate.']","[{'large': 'https://m.media-amazon.com/images/I/41-jq+4xBwL._SY344_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],1771682760
The Old Man and the Pirate Princess,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/aph2m5c1mbcg5n2e73184sjnuc._SY600_.jpg', 'name': 'Jessica Mathews', 'about': ['Jessica Mathews began writing picture books for children at a young age. Her father would write down all of the stories she told him and they would read them together. Jessica wants to continue the tradition of making up stories for children, starting with her debut picture book, The Old Man and the Pirate Princess. Jessica wants to be able to work with schools, libraries, and after care programs to help children discover their love of reading, writing, and creating. She wants her books to inspire others as much as her favorite books inspired her when she was growing up. Jessica also publishes adult fiction under her pen name, J.L. Mathews. She hopes her work will inspire others to create something of their own to share with the world. Jessica is an active member of her local writers guild in St. Louis where she lives with her two cats, Storm and Knight. She recommends every writer join a literary organization to network with other writers and find their people. She also recommends adopting as many cats as you can.']}",3.2,5,[],"[{'large': 'https://m.media-amazon.com/images/I/41FXXfN-fYL._SX384_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","[""Children's Books"", 'Science Fiction & Fantasy']",1087848539
Japanese Girls and Women,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Alice Mabel Bacon', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",3.2,7,"['About the Author', 'Alice M. Bacon was a private American scholar and keen social observer who resided for many years in Japan. She was the first Western woman to live in a Japanese household.']","[{'large': 'https://m.media-amazon.com/images/I/21BhwngmjwL._SX317_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['History'],0710306911
Behavior Principles in Everyday Life,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'John D. Baldwin', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",3.7,14,[],"[{'large': 'https://m.media-amazon.com/images/I/41BZJS25WAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],0130840963
PQL 3 - Lola (Spanish Edition),,3.7,2,[],"[{'large': 'https://m.media-amazon.com/images/I/51+wU+PzoWL._SX338_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],8477110190
"A sermon, preached at the execution of Moses Paul, an Indian: who was executed at New-Haven, on the 2d of September, 1772, for the murder of Mr. Moses ... 1771 : preached at the desire of said Paul.",,3.8,2,[],"[{'large': 'https://m.media-amazon.com/images/I/51pcm5alT8L._SX382_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['History'],1275627234
"Business Associations: Agency, Partnerships, LLCs, and Corporations- 2013 Statutes and Rules","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'William A. Klein', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.5,6,[],"[{'large': 'https://m.media-amazon.com/images/I/41vFoSjfSQL._SX352_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],1609303687
Inspector Imanishi Investigates (Soho Crime),"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Seicho Matsumoto', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.0,1138,"['Review', 'Praise for', 'Inspector Imanishi Investigates', '""A police procedural in the classic tradition of . . . P.D. James\'s Commander Dalgliesh.""', '—', 'The New York Times', '""Patient, meticulous stories [that] offer an anatomy of a society as much as a picture of a crime.""', '—The Economist', '""A master crime writer.""', '—Jan van de Wetering, author of', 'Outsider in Amsterdam', '""The most intricate web of detection . . . A tantalizing double unveiling act . . . Belongs on your shelf next to Christie and Simenon, P.D. James and Robert Van Gulik. A superb thriller.""', '—', 'Los Angeles Times', '""An intriguing slice of the mores and habits of Japanese society . . . Seicho Matsumoto combines the prolific output of a Rex Stout with the literary qualities of Elmore Leonard.""', '—', 'San Francisco Chronicle', 'From Publishers Weekly', 'The corpse of an unknown provincial is discovered under the rails of a train in a Tokyo station, and Detective Imanishi is assigned to the case. ""Matsumoto is reputed to be Japan\'s leading mystery writer; this 1961 work is proof that he is a first-rate novelist,"" judged PW. Copyright 1990 Reed Business Information, Inc.', '--This text refers to an out of print or unavailable edition of this title.', 'About the Author', 'Native of Fukuoka Prefecture and prolific writer of socially oriented detective and mystery fiction, Matsumoto debuted as a writer after reaching the age of forty with the historically based', 'Saigo Takamori Chits', ', 1950, and', 'The Legend of the Kokura Diary', ', 1952. He then went on to establish his unique style of detective fiction with the works', 'The Walls Have Eyes', ', 1957, and', 'Points and Lines', ', 1958. Matsumoto made a name for himself as the writer of suspense novels that were accesible to all kinds of readership, but it was his historical novel', 'The Ogura Diary Chronicles', 'that earned him The 28th Akutagawa Prize, the Japanese equivalent of the Pulitzer Prize. The popular Japanese TV show ""Black Leather Notebook"" was based on his novel of the same name, and several of his detective fiction works have been published in the US (SoHo Crime and Kodansha International).', '--This text refers to an alternate', 'kindle_edition', 'edition.', 'Read more']","[{'large': 'https://m.media-amazon.com/images/I/51UHERs91bL.jpg', 'variant': 'MAIN'}]","['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",B003P2WETK
Officially Dead,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Quentin Reynolds', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.6,3,[],"[{'large': 'https://m.media-amazon.com/images/I/41YJsa+LdKL._SX373_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],B000JDT7L6
Dine In!,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Nick Stellino', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.5,27,"['About the Author', 'Nick Stellino grew up in Palermo, on the island of Sicily, and moved the United States in 1975. His career has included the television series ""Cucina Amore"", and ""Nick Stellino\'s Family Kitchen"", plus two public television specials and seven cookbooks. Nick and his wife Nanci live in Los Angeles.']","[{'large': 'https://m.media-amazon.com/images/I/51G21WXBNYL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],0974028622
The Promise of Love (The Book of Love),"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/iu96k83prihudnq64fp3976618._SY600_.jpg', 'name': 'Meara Platt', 'about': ['You can download a free Farthingale novella, If You Kissed Me, when you visit www.mearaplatt.com', 'Meara Platt is a USA Today bestselling, award winning author, and an Amazon UK All Star. Her Regency romances are infused with humor and heart, and her fantasy/paranormal stories add just enough darkness to keep her readers intrigued. For Meara, romance is a journey of enchantment, so whether you are looking for funny, uplifting escapes in her Farthingales series and Book of Love series, or wish to be transported into edgier, Fae/dragon other worlds (Dark Gardens series), or somewhere inbetween (Braydens series) take the journey and enjoy!', ""For more about Meara's books, visit her website at www.mearaplatt.com and visit Dragonblade Publishing's Amazon store at: https://www.amazon.com/stores/page/241C295A-DB7C-4845-BB5C-02A257241AF9.""]}",4.5,637,[],"[{'large': 'https://m.media-amazon.com/images/I/51vzMDej+IS._SY344_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Romance'],B098JWSP78
Statesmen of the Lost Cause,,5.0,2,[],"[{'large': 'https://m.media-amazon.com/images/I/51DwdP1FEiL._SX336_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['History'],B0006AOORE
A Monster Sandwich (The Story Box - Level 1 - Set B - for Emergent Readers) [Paperback],"{'avatar': 'https://m.media-amazon.com/images/I/71D+qo7VFiL._SY600_.jpg', 'name': 'Joy Cowley', 'about': [""Cassia Joy Cowley DCNZM OBE (née Summers, born 7 August 1936), best known as Joy Cowley, is a New Zealand author of children's fiction, novels, and short stories."", ""Her first novel, Nest in a Fallen Tree (1967), was adapted into the 1971 film The Night Digger by screenwriter Roald Dahl. Following its success in the United States, Cowley wrote several works for adults: her novels Man of Straw (1972), Of Men and Angels (1972), The Mandrake Root (1975), and The Growing Season (1979) typically focused on families dealing with issues such as marital infidelity, mental illness, and death. Cowley has also published several collections of short stories, including Two of a Kind (1984) and Heart Attack and Other Stories (1985). Cowley is known primarily for her children's fiction. Her children's novel The Silent One (1981), was made into a 1985 film; other works include Bow Down Shadrach (1991) and its sequel Gladly, Here I Come (1994)."", 'She has written 41 picture books, which include The Duck in the Gun (1969), The Terrible Taniwha of Timberditch (1982), Salmagundi (1985), and The Cheese Trap (1995). The Duck in the Gun and Salmagundi are explicitly anti-war books.', 'Bio from Wikipedia, the free encyclopedia. Photo Courtesy of Horowhenua Historical Society inc, Levin, New Zealand (File:Joy Cowley.jpg) [CC BY-SA 3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons.']}",3.8,5,[],"[{'large': 'https://m.media-amazon.com/images/I/51Al3nLgqhL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",[],0780274164
Sounds from the Heart: Learning to Listen to Girls,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Maureen Barbieri', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",5.0,2,"['About the Author', ""MAUREEN BARBIERI has taught middle school in New Hampshire, Ohio, and South Carolina. Since coming to New York, she has been a staff developer in District 2 and a divisional head at Marymount, an all girls' independent school. In addition to frequent consulting, she now teaches literacy courses in the Department of Teaching and Learning at New York University's Steinhardt School of Education, where she co-directs the summer writing institute. Her book, Sounds from the Heart: Learning to Listen to Girls (Heinemann, 1995), received the James N. Britton Award for Inquiry with the English Language Arts from the National Council of Teachers of English as well as the International Educator's Award from the Delta Kappa Gamma Society.""]","[{'large': 'https://m.media-amazon.com/images/I/41SM7VFW35L._SX301_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],0435088432
Hunting Evil,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Guy Walters', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.2,634,[],"[{'large': 'https://m.media-amazon.com/images/I/51o89h0rrsL._SX319_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['History'],0553819399
Les Chiens De Paris,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Barnaby Conrad III', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.6,8,[],"[{'large': 'https://m.media-amazon.com/images/I/51xoVQCwaBL._SX488_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","['Crafts, Hobbies & Home']",0500016550
Acoustic & Digital Piano Buyer Fall 2017: Supplement to The Piano Book,,5.0,3,"['About the Author', 'Larry Fine', 'is the author of', 'The Piano Book: Buying & Owning a New or Used Piano', ', for 30 years the standard consumer reference in the piano business. A Registered Piano Technician, Fine has been involved in the piano industry for more than 40 years. He lives in San Diego, California.']","[{'large': 'https://m.media-amazon.com/images/I/518HbE+JNhL._SX378_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Arts & Photography'],1929145667
Sugary Sweets (A Taste of Love Series),"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/i6g5m3i4a99kmtvj00g6v6h55o._SY600_.jpg', 'name': 'A.M. Willard', 'about': [""Bestselling Author, A.M. Willard resides in Savannah, Georgia. She joined the Peach State many years ago after leaving the crystal blue waters and sugary white sand behind from the Panhandle of Florida. She's also known for being a wife, mother, and caretaker for her farm animals. A.M. loves anything sassy, glittery, and is a sucker for the Hallmark Channel. That last one might be the reason she believes in soulmates or it could be because she married her high school sweetheart for twenty years ago."", 'After releasing her first novella series back in 2014, A.M. set out on a new goal to bring her readers a broad range of romantic stories from her desk. This includes Romantic Comedy, Contemporary Romance, and from time to time some Sexy Romance.', 'A.M. is an active member of RWA (Romance Writers of America).', 'To learn more about A.M. Willard visit her at www.amwillard.com', 'Facebook: @authoramwillard', 'Twitter: @AMWillardAuthor', 'Instagram: authoramwillard']}",4.4,119,"['Review', '""An incredible book by an incredible author. It is full of sweetness, sass and heat that will have you craving more.""\xa0Lisa @ LBM Book Blog', '""An incredible book by an incredible author. It is full of sweetness, sass and heat that will have you craving more.""', 'Lisa @ LBM Book Blog', '""I would say grab this Romantic Comedy if you like a light romance with some hilarity thrown in. This is definitely one that you can chuckle through and maybe even relate a time or two."" Stephanie @ Stephanie Book Reports', '""I would say grab this Romantic Comedy if you like a light romance with some hilarity thrown in. This is definitely one that you can chuckle through and maybe even relate a time or two.""', 'Stephanie @ Stephanie Book Reports', '""Her original witty banter makes for brilliant well placed humor, and the emotions of the circle of friends are very realistic. Now I have added her to the list of authors trying to kill me with the way she teased me with the next book, but nonetheless, I\'m HIGHLY HIGHLY HIGHLY RECOMMENDING Sugary Sweets!"" Jennifer @ The Power of Three Readers', '""Her original witty banter makes for brilliant well placed humor, and the emotions of the circle of friends are very realistic. Now I have added her to the list of authors trying to kill me with the way she teased me with the next book, but nonetheless, I\'m HIGHLY HIGHLY HIGHLY RECOMMENDING Sugary Sweets!""', 'Jennifer @ The Power of Three Readers', '""The emotions of the friend are so realistic ,but that is the way this author writes and it\'s how she places her humor that gets you every time. I could tell you more about this great story ,but that would spoil it for you. I highly recommend that you read this story, you won\'t be disappointed."" Bella\'s Blog', '""The emotions of the friend are so realistic ,but that is the way this author writes and it\'s how she places her humor that gets you every time. I could tell you more about this great story ,but that would spoil it for you. I highly recommend that you read this story, you won\'t be disappointed.""', ""Bella's Blog"", 'About the Author', 'International Bestselling Author, A.M. Willard is a true believer of soul mates, and happy ever afters. She enjoys reading, sailing, and of course writing contemporary romance, and romantic comedy with some saucy scenes. Releasing her first novella of the One Night Series on April 12, 2014, has sent her on a new journey in life.\xa0You can connect with A.M. Willard on her website at amwillard.com or subscribe to her newsletter for the latest releases, teasers, and sale alerts: eepurl.com/bb-Cd1Follow her:Facebook: tinyurl.com/nnx2s8mTwitter: @AMWillard1Google + Author Page: tinyurl.com/ncmxhadWebsite amwillard.com/']","[{'large': 'https://m.media-amazon.com/images/I/51yHh0rQJvL._SX322_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],1536832286
